category,title,author,created_time,tid,topic,content
会议检索,[求助][已完结]有篇会议论文，请帮忙查下是否被EI和ISTP检索，谢谢 (评阅+1),run_paper,2014-03-26,7174882,学术会议,"
题目：CMPR: COST-AWARE MULTIPATH ROUTING ALGORITHM FOR MOBILE WIRELESS SENSOR NETWORKS
作者：Ding Liu
万分感谢！"
会议检索,[求助]麻烦高手帮忙查阅这篇会议英文文献是否已被ISTP收录 5 (评阅+1),guotian1989,2012-03-15,4252213,学术会议,"
麻烦高手查哈这篇会议论文EI收录情况 已经一年了都 

作者: 
HE Binghui, GUO Tian 
文题: 
Effects of Slopes and Rainfalls on Organic Carbon under Water Erosion in Regions of Hilly Purple Soil 
期刊名,年份,卷(期),起止页码: 
求助此项信息 
全文链接: 
求助此项信息 
数据库名称: 
求助此项信息 
收录信息: 
求助 EI 收录信息 

[交流] 麻烦高手帮忙查阅这篇英文文献是否已被ISTP收录 

作者: 
HE Binghui, GUO Tian 等 
文题: 
Effects of Slopes and Rainfalls on Organic Carbon under Water Erosion in Regions of Hilly Purple Soil 
期刊名,年份,卷(期),起止页码: 
不详 
收录信息: 
求助 ISTP 收录信息 

麻烦高手帮忙查阅这篇英文文献是否已被EI收录，学校图书馆没得ISTP数据库啊，急啊急，拜托高手了
Effects of Slopes and Rainfalls on Organic Carbon under Water Erosion in Regions of Hilly Purple Soil 为会议论文
参加会议：Proceedings of Symposium from Cross-strait Environment & Resources and 2nd Representative Conference of Chinese Environmental Resources & Ecological Conservation Society

ISBN 978-1-921712-06-7"
会议检索,[求助][已完结]请哪位好心人帮忙查一篇会议论文是否被EI检索和ISTP检索,hxhffmt,2013-09-20,6383861,学术会议,"
Comparison and Analysis of Models Predicting Transcriptional Regulatory Modules Based on Different Backgrounds"
会议检索,[求助]帮忙查一下该篇会议论文是否被EI检索，或者istp检索 2 (评阅+1),晨龙,2013-03-07,5582413,学术会议,"
Effects of pesticide-contamination on population and activity of bacteria in purple paddy soil. Energy procedia. 2012, 16: 284-289."
会议检索,[求助]去年6月份以后投的会议，有没有哪位的文章被istp检索过？ 3,蜗牛爬ya爬,2012-05-03,4461589,学术会议,"
被检索过吗？求分享你们的检索周期"
会议检索,[求助][已完结]哪位大神帮忙：会议论文是否EI或ISTP检索,caiaiping,2015-12-16,9756092,学术会议,"
论文题目：The Research about Technology of client data real-time dynamic based on JMX
谢谢了"
讨论咨询,[求助][已完结]材料科学，机械工程与人工智能国际会议（2015MMI） 【EI/ISTP】，这个会议靠谱吗？,火奴鲁鲁1990,2015-12-01,9695514,学术会议,"
会议城市:
青岛
是否Ei/ISTP收录:
Ei/ISTP双收录
截稿日期:
2015年12月6日

Topics of interest include but are not limited to:

Materials Science：
Metallic Alloys 金属合金
Superplastic Materials 超塑性材料
Ceramics and Glasses 陶瓷和玻璃
Composites 复合材料
Amorphous Materials 非晶材料
Nanomaterials 纳米材料
Biomaterials 生物材料
Multifunctional Materials 多功能材料
Smart Materials 智能材料
Engineering Polymers 工程塑料
Functional materials 功能材料
Nuclear fuel materials 核燃料材料
sensors and surfaces 传感器和曲面
Thin Film Chalcogenide Photovoltaic Materials 薄膜硫族化合物光伏材料
Nuclear Materials IV 核材料IV
Magnetic Materials 磁性材料
Multi Functional Magnetic Materials 多功能磁性材料
Superconducting Materials 超导材料
Structured Materials 结构材料
Spintronics Materials and Devices 自旋电子学材料与器件
Hard/Soft Magnetic Materials 硬/软磁性材料
Crosscutting materials 横切材料
Nanomaterials 纳米材料
CAD/CAM 

静力学及动力学 (statics and dynamics)；
固体力学及材料强度学 (solid mechanics and strength of materials)；
量度及仪器 (instrumentation and measurement)；
热力学、传热、能量转换、冷却及空气调节（thermodynamics, heat transfer, energy conversion, and refrigeration/air conditioning）；
流体力学及流体动力学（fluid mechanics/fluid dynamics）；
机构设计（mechanism design, including kinematics and dynamics）；
制造技术或过程（manufacturing technology or processes）；
液压学和气动学（hydraulics & pneumatics）；
工程设计（engineering design）
机电整合及控制理论（mechatronics and/or control theory）；
工程绘图、电脑辅助设计（CAD）、电脑辅助制造（CAM）、固体塑模（Solid Modelling）

本次会议的目标是提供 机械工程、工业工程、机械制造与材料科学领域的专家、学者和工程技术人员提供的一个了解国际行业技术前沿，研讨热点问题的平台。
所有被本次会议收录的论文将由法国Atlantis Press出版，并被提交EI 和ISTP数据库检索。

联系方式以下
投稿邮箱：
TEL:??027-59332806
扣扣：1422679111
会议官方网站：http://www.mmiconf.org/
论文出版：??Atlantis Press
投稿邮箱：MMIconf@126.com （投稿后请正文文本附言 小一 老师推荐）"
会议检索,[求助]2012 亚洲仿真会议(AsiaSim’2012)靠谱吗？看网站上说能EI和ISTP?? ?(  1 2 )  5,cw198010,2012-10-13,5056330,学术会议,"
教育部那个会议在线的网站和上海大学的网站上都有，springer的出版计划也有，虫友鉴定一下靠谱吗^_^http://www.asiasim2012.org/?page=Content/home"
会议检索,[求助][已完结]EI，ISTP检索,ericTUNG,2014-12-26,8346367,学术会议,"
有个会议说出版社会同时送检EI，ISTP，三到六个月能双检，有没有经验丰富的给点建议关于EI和ISTP检索的啊？"
讨论咨询,[求助][已完结]急急急：请问被CPCI-SSH收录的会议论文在上海能开ISTP收录证明吗。谢谢！,chrislois,2012-09-07,4931362,学术会议,"
请问被CPCI-SSH收录的会议论文在上海能开ISTP收录证明吗？在哪里开？谢谢！"
讨论咨询,[求助][已完结]2010年环境污染与大众健康学术会议(CEPPH 2010)被ISTP检索了没有呀,xixizhang3096,2011-05-04,3152011,学术会议,"
去年9月的CEPPH 2010说是ISTP检索，怎么我还检不到呀，这个会是不是有问题？还是武汉大学主办的，要使不检索那对武大的信誉可定有影响呀

[ Last edited by 200510801206 on 2011-5-4 at 18:46 ]"
讨论咨询,[求助]参加cvpr2016 5 (评阅+1),lgb137,2016-03-19,10115198,学术会议,"
请问有小伙伴们从深圳或香港出发参加cvpr2016吗？会议地点在拉斯维加斯。
看能否同行。"
会议检索,[求助]2011先进纤维与聚合物材料国际学术会议文章ISTP检索了没有 20 (评阅+1),sjzhaolei,2012-04-18,4401322,学术会议,"
哪位好心人能否帮忙查询下2011先进纤维与聚合物材料国际学术会议（ICAFPM）上的文章被ISTP检索了没有。会议8月份在东华大学召开，我投的文章题目是：Synthesis of soluble and thermally stable poly(phosphazene-aryl amides) from symmetrical diamine. Proceedings of 2011 International Conference on Advance Fibers and Polymer Materials, Donghua University, pp: 41-45.
感谢您的帮忙！"
参会经验,[求助]求会议推荐：自己投过的；EI检索，ISTP检索，或双检索的；靠谱的。? ?(  1 2 )  16,pingdan,2013-07-29,6178043,学术会议,"
求会议推荐：自己投过的；EI检索，ISTP检索，或双检索的；靠谱的。"
讨论咨询,[求助][已完结]如果投国际会议的全文，能不能再投到其他期刊上发表,wanggufan,2016-03-18,10109945,学术会议,"
现在有一个问题，想参加国际会议，学校的条件是如果投全文，就给报销100%，如果投的是摘要，就只报销70%，现在问题来了，我如果在会议上投了全文，还能不能投发表到其他杂志上？算不算一稿多投？"
参会经验,[求助]去新西兰开会，签证怎么办啊 10,hopedream,2016-03-15,10094901,学术会议,"
将要去新西兰开会，我看签证网页上的写的门类太多，有些疑问想请教过来人：
先自我介绍下：大连理工大学的博士生。

问题如下：
1.签证类型。我是不是该选择访问签证，就是第一种，visitor vasa.
2.健康证明和财产证明。这些需要吗，我看上面写的都需要，有这么麻烦吗？"
会议检索,[求助]请帮忙查下文章是否被ISTP（CPCI-SSH）检索? 20,sys_gao,2016-03-15,10091870,学术会议,"
请帮忙查下文章是否被ISTP（CPCI-SSH）检索?
1.Ship Damage Rates Analysis Based on Poisson Regression
2.Note on Equidistant Polynomial Interpolation"
会议检索,[求助]请大家帮我查一下论文的检索信息，谢谢！ 200,zhaoyu491,2016-03-16,10101924,学术会议,"
麻烦有ISTP资源的虫友，帮忙检索个会议，会议名称：Proceedings of the 6th International Asia Conference on Industrial Engineering and Management Innovation，谢谢！"
讨论咨询,[求助]国际质谱学大会（IMSC） International Mass Spectrometry Conference 注册就可以去？ 20,rosalynwish,2016-03-15,10096150,学术会议,"
我的课题是质谱微型化相关的，参加的会议都和质谱没啥关系。
找到了这个会议 21st International Mass Spectrometry Conference
http://imsc2016.ca/
请问有没有去过的童鞋，是不是注册就可以去，想去学习一下。
会议网址上提及
Abstract submissions will be accepted during the registration process. If you have already registered for the conference and wish to submit an abstract, please use your login information created at the time of registration.
Abstract submission has been designed to take only plain text information; no figures or diagrams are to be submitted or special characters used. 

怎么感觉是个交钱就能去的会议，可我又听说是不错的会议，
一点都不明白。
金币有点少，还请去过的大牛们帮小妹解答一下。
"
讨论咨询,[求助]2016年工程与技术创新国际会议 是真，是假？ 孰能辨？ 50,KeepSmiling,2016-03-15,10096484,学术会议,"
如题，请问 2016年工程与技术创新国际会议 是真实的吗？

会议网址：http://www.ieti.net/iceti2016cn/cnindex.html
科学网的广告网址：http://meeting.sciencenet.cn/index.php?m=Category&a=reading_display&rid=5800


科学网上的开会时间是：2016-05-26至2016-05-27? ?? ?? ?? ?? ?? ?? ?? ???会议地点? ? ? ? 武汉
但是会议官方网址上的开会时间是2016-03-26至2016-03-27? ?? ?? ???会议地点? ? ? ? 武汉


为何会有这种错误出现？请问这个会议是真实的吗？

急着毕业， 有知道实情的，请告诉我咯？??谢谢！"
会议检索,[求助][已完结]有人投稿2016年ICIEA的人吗？大家一起交流一下? ?(  1 2 3 4 5 6 ),章鱼哥好大只,2015-09-14,9384114,学术会议,"
请问一下，2016ICIEA的文章，上传不上去请问一下是什么问题，大家交流一下。"
会议检索,[求助]请帮忙查下SPIE 9812 是否检索 30,zhangweijlc,2016-03-18,10110519,学术会议,"
MIPPR 2015 的会议论文出来了好几卷，9811和9815卷都EI检索了，可是我发在9812那一卷上的还没检索，请帮忙查一下，9812卷目前是否有论文被EI收录。


Proceedings of SPIE - Volume 9812: MIPPR 2015: Automatic Target Recognition and Navigation"
讨论咨询,[求助]EMN Meeting on Quantum Communication and Quantum Imaging怎么样 10,kekeji007,2016-03-18,10109942,学术会议,"
今日收到 EMN 会议邀请，大家看看这会议怎么样，谢谢
Dear Dr. **,

Greetings from Meeting on QCQI-2016。

On behalf of the Conference Chairs and Committees, the purpose of this letter is to formally invite you to deliver an invited talk at the EMN Meeting on Quantum Communication and Quantum Imaging, which will be held in Movenpick Hotel Berlin, Germany, on 23rd to 26th of August, 2016.

The EMN Meeting on Quantum Communication and Quantum Imaging is the premier interdisciplinary forum for the presentation of new advances and research results in the fields of Quantum Communication and Quantum Imaging. The conference will bring together leading academic scientists, researchers and scholars in the domain of interest from all around the world.

Topics of interest for submission include, but are not limited to:

..."
会议检索,[求助][已完结]求助！文章投稿至CEUP2015第四届土木工程与城市规划国际会议靠谱吗？? ?(  1 2 ),llollollo,2015-02-03,8513410,学术会议,"
如题，准备投稿CEUP2015，但不知道靠不靠谱，能不能保证文章检索，求过来人解答？"
讨论咨询,[求助][已完结]国际电子信息与工程技术协会里承诺论文被SCI检索，真的假的？确实了解的说一下经验！,alin501,2015-10-25,9536787,学术会议,"
国际电子信息与工程技术协会，网址：http://www.iaeiet.org/，说里面论文6-12个月SCI检索，谁投过，是否确实检索？费用多少？"
会议检索,[求助][已完结]查询论文检索，谢谢,qingglory,2016-01-11,9857381,学术会议,"
请帮忙查一下文章是否ISTP检索，谢谢啊
论文题目：A Faster Algorithm of Higher Order Voronoi Diagrams
ICMTMA2015会议

主办方说已经ISTP检索，如果有请大侠把截图或者PDF文件传一下，跪谢"
会议检索,[求助]能否帮忙查一下这些会议论文有没有被ISTP收录 20 (评阅+1),tschoowang,2012-03-13,4242690,学术会议,"
能否帮忙查一下这些会议论文有没有被ISTP收录，给出作者、摘要、标号等等
1 Hydrogenation of coal by electrochemical method（第62届国际电化学会年会）
2 Coal Oxidation in Sulfuric Acid Solution with Different Catalysts[C]，The 61st Annual Meeting of the International Society of Electrochemistry, Nice, France, September 26th - October 1st, 2010
3.Ni-B amorphous alloy electrode for Electrochemical liquefaction of coal[C]，Pacifichem 2010 conference，Honolulu, Hawaii，USA, December 15 - 20, 2010
4.tudy on a New Electrochemical Method for Using Coal Cleanly and Efficiently
5.ABA-模板法制备负载Pt的多孔镍用于甲醇氧化
6.由IR和1HNMR手段分析Pb电极在DMF-EtOH电解质中对煤的电催化加氢效应：煤炭结构变化"
讨论咨询,[求助]如果会议论文不能被ISTP检索，还有集册发表的必要吗？ 5,galai,2012-01-12,4041937,学术会议,"
最新的一个会议通知采录了，但是不能被ISTP检索，还有发表的必要吗？虽然可以报销，但是好像集册发表的文章不能再投期刊了，求解答！"
会议检索,[求助][已完结]请帮忙查看一下这篇会议论文是否被ISTP检索？将检索页发给我，谢谢,ledengledeng,2015-02-27,8572986,学术会议,"
ICFEEE 2012会议论文，之前有朋友帮忙查到了EI检索页，现在请帮忙查一下ISTP检索页。
Study on the Movable Workstation of Verification on Biological Treatment Technologies of Water Pollution Control

谢谢！"
会议检索,[求助][已完结]单位没有ISTP数据库，哪位好人帮忙查查这篇会议文章被ISTP收录了没？ 多谢多谢！,micheng25455,2015-11-16,9628354,学术会议,"
作者：Dayong Liu, Jie Yu,
论文题目：The influence of CTAB surfactant on the dispersion of Al2O3??particles and deposition rate of electroless Ni-P-Al2O3 coatings
 出版期刊：Advanced Materials??Research 2015,1095 :641-646"
会议检索,[求助][已完结]查询会议论文是否被ISTP检索 (评阅+1),baixuehong,2015-04-01,8742114,学术会议,"
各位虫友们好！请帮忙查看下会议论文“Simple simulation of abandoned farmland based on multi-agent modeling approach”，作者为Bai Xuehong。如果被检索，请附上截图。
跪谢~

[ 发自手机版 http://emuch.net/3g ]

[ Last edited by baixuehong on 2015-4-2 at 14:12 ]"
会议检索,[求助]土木与环境国际会议(ICCEE)可以被EI，ISTP或SCI检索吗？ 2,superhugo,2012-06-01,4581335,学术会议,"
2012年第11届土木与环境国际会议将在日本广岛大学召开，请问这个会议的论文可以被EI、ISTP或SCI检索吗？"
讨论咨询,[求助][已完结]icwrme2011水资源管理与工程国际会议能不能ISTP了??? (评阅+1),clysxs,2011-12-15,3948638,学术会议,"
icwrme2011水资源管理与工程国际会议
这个会议怎么还不ISTP检索?有没有希望了?"
会议检索,[求助] 2011年先进工程材料与技术国际学术会议（AEMT2011）文章是否已经ISTP检索?? ?(  1 2 )  6 (评阅+1),zjg829,2011-09-15,3602388,学术会议,"
2011年先进工程材料与技术国际学术会议（AEMT2011）文章是否已经ISTP检索了?我的文章还没有搜到，能否帮忙检索一下呢？
题目：Experimental research and finite element analysis of concrete-filled 
steel box columns with longitudinal stiffeners
谢谢！"
会议检索,[求助][已完结]2010年录用的会议论文，现在还不能被ISTP检索到，这正常吗？ (评阅+1),niceplayer,2012-03-16,4255619,学术会议,"
2010年投递了一个国际会议
会议名称：international conference on industrial management??（ICIM）
是中国和日本合办的，今年要开新的一届了。
但是我在2010年录用的还不能被ISTP检索到。
会议也参加了，手里也有论文集，官方介绍说论文全部被ISTP收录了。
想请教各位：这里面存在什么问题吗？我该如何处理。
官方页面：http://icim2012.buaa.edu.cn"
会议检索,[求助]求助--ISHTEC2012国际会议是否收录ISTP了？ 20,lijinglidong,2013-09-22,6388444,学术会议,"
2012年1月6日-9日， 华南理工大学+强化传热与过程节能教育部重点实验室在广州举办的4th international Symposium on heat transfer and energy conservation（ISHTCE2012）(第四届传热与节能国际研讨会) 是否被ISTP或者EI收录了？哪位亲知道？当时写的是被ISTP收录，一直没有动静啊。"
会议检索,[求助][已完结]2011年和2012年的国际会议论文EI检索的同时还能ISTP检索么？,lyguo,2012-11-09,5163017,学术会议,"
听说近两年的会议论文停止了ISTP检索，想问下是真的吗？我这有几篇会议论文，已经EI检索了，谁能帮我看看是否也ISTP检索了？因为当时会议通知时是双检索的，麻烦虫友帮我查一下了，我这资源不够，查不了，若虫友们帮我查到一篇ISTP检索的就送10个金币作为一点酬劳的回报吧，谢谢大家啦！

对应的EI检索号分别是(EI: 20112314025843)、 (EI: 20121414924313)、(EI: 20122315084912)
对应的论文信息分别是
（1）Advanced Materials Research Vols. 236-238 (2011) pp 87-90； 
（2）Advanced Materials Research Vols. 490-495 (2012) pp 3598-3602
（3）Advanced Materials Research Vols. 512-515 (2012) pp 2443-2447"
讨论咨询,[求助]ETCSIP 2014这个会议有人知道吗？ 5,神啊救救我吧,2014-02-19,6984439,学术会议,"
2014 International Conference on Electronics Technology, Computer Science and Information processing (ETCSIP 2014) 
19- 20, April, 2014. Beijing, China 
http://www.etcsip.org 
2014 电子技术、计算机科学与信息处理国际会议

一直都没投过会议，快毕业了试着投一篇灌灌水。投过不久就收到了录用通知，看到他们回复邮件上写的是“您的文章将被TTP出版社期刊《Applied Mechanics and Materials》出版(ISSN: 1660-9336)，论文集中收录的论文将被EI Compendex和ISTP检索。”可信吗？"
讨论咨询,[求助][已完结]我在网上看到了很多会议论文，请各位指点一下以下哪个比较好，谢谢,环工_1986,2014-03-01,7043170,学术会议,"
本人的文章是土地处理法处理生活污水的！请各位指点一下，谢谢！
2014年环境、能源与动力工程国际学术会议
2014 International Academic Conference on The Environment, Energy and Power Engineering（EEPE2014）

第三届/2014年能源与环境保护国际学术会议
3rd International Conference on Energy and Environmental Protection（ICEEP 2014）

2014能源化工与环境工程国际会议(ICECEE 2014)
2014 International Conference on Energy, Chemistry and Environmental Engineering (ICECEE 2014)

2014年材料科学与环境国际会议(AMSEM2014)
International Conference on Application of Materials Science and Environmental Materials? ?? ?? ?? ?? ?? ?? ? 

2014第2届工程材料岩土工程与环境工程国际会议(EMGEEE 2014)
2014 2nd International Conference on Engineering Materials, Geotechnical Engineering and Environmental Engineering"
会议检索,[求助]麻烦虫友帮忙ISTP检索个会议 220,zhaoyu491,2016-03-14,10086899,学术会议,"
麻烦又ISTP资源的虫友，帮忙检索个会议，会议名称：Proceedings of the 6th International Asia Conference on Industrial Engineering and Management Innovation，谢谢！"
讨论咨询,[求助]WCCI. IJCNN2016出结果没 6,遥感小张,2016-03-16,10097584,学术会议,"
通知说3月15，中不中都会给消息吗？求帮助呀谢谢各位啊。我的全部金币奉献给大家

[ 发自手机版 http://emuch.net/3g ]"
参会经验,[求助]请问CARBON2016怎么注册缴费 10,fanjiexin,2016-03-17,10104523,学术会议,"
请问CARBON2016怎么注册缴费？我已经交过文章，就是一直没有搞懂这个怎么缴费，注册账号总感觉不对。在直接在线信用卡缴费。会议地址是：http://carbon.outreach.psu.edu/"
讨论咨询,[求助]circos软件中的一些问题 5,万木有灵,2014-08-31,7840577,学术会议,"
circos-0.66版本里面的:
1.Z-depath是什么意思？
我查的资料是:z-depth, which controls the order in which highlights are drawn, is a critical parameter in creating effective images. Judiciously layering your data can make the difference between a good figure and a great figure.
一块区域有好几种颜色？为什么？
2.Z=0或者Z=5是什么意思？
求详细的解释"
其他,[求助]cvpr2016 5 (评阅+1),海阔天空2333,2016-03-17,10103644,学术会议,"
请问有小伙伴们要参加cvpr2016吗？会议地点在拉斯维加斯。
我是女生，想找个女生一起住会议推荐的酒店标准间，住宿费平摊。"
参会经验,[求助]EGU会议注册成功后在哪里缴费？ 5,linageo,2016-03-01,10025673,学术会议,"
EGU注册成功了，让填写了个人信息，但是缴费在哪里啊？"
讨论咨询,[求助] 2011年的国际会议有被ISTP检索的吗？到底啥时候能检索？? ?(  1 2 )  1 (评阅+1),lovie,2012-03-01,4184218,学术会议,"
2011年的国内的会议有那个被检索了啊？
知情的朋友说说呗！"
会议资源,[求助] 交1800版面费能发上的国际会议，被ISTP检索，感觉自己中奖了！? ?(  1 2 )  1,qwerty68,2014-01-31,6932173,学术会议,"
国际教育经济与管理会议，收社科方面的文章，非常难得，出版时间很短，社科类的师哥师姐觉得怎样？
我觉得会议网站上有中文，很不正规的干活，附网站：
http://www.istp-meeting.com/eeim2014/acc.htm
您怎么看，请回复讨论"
会议检索,[求助]求助会议论文EI或ISTP检索？5金币 5,lazy20017,2012-08-28,4890434,学术会议,"
Research and Design of Producing Management Information System Based on C/S and B/S for Strip Metal Mine"
会议检索,[求助][已完结]求助好心人，帮忙查一篇会议论文有没有被ISTP检索 (评阅+1),xiechx,2013-03-20,5649350,学术会议,"
题名：Analysis and Design of Networked Control Systems with Long Time-Delay and Packet Dropout
会议名：2012 IET信息科学与控制工程国际会议(ICISCE 2012) 2012 IET International Conference on Information Science and Control Engineering (ICISCE 2012)"
会议检索,[求助]请问有投ICSSS会议的吗？论文被ISTP检索了吗？着急 3 (评阅+1),christie_guo,2012-03-29,4316056,学术会议,"
发了一篇论文在ICSSS2011上，
前几天，即3月16日收到邮件，说是被ISTP库检索了（CPCI/ISSHP）
但是附近学校都没有购买库,查不出来
看了网上的消息，说有的被检索又被退的情况
所以，如果被检索
那俺就赶紧跑个远点的学校
赶紧开个检索证明回来
郁闷不？
万分感谢"
讨论咨询,[求助][已完结]求2011年的国际会议能被ISTP(CPCI-SSH)检索的！,baishidass,2011-06-19,3314455,学术会议,"
求2011年的国际会议能被ISTP(CPCI-SSH)检索的！

[ Last edited by xuanzhang on 2011-6-19 at 19:33 ]"
会议检索,[求助][已完结]在线等，请帮忙查一下这4篇会议文章是否被istp检索,lqggis,2013-05-21,5920147,学术会议,"
麻烦大家帮我查一下这几篇文章是否被istp检索，后面3篇都已经ei检索，如果方便的话也可以看看第一篇是否ei，谢谢好心人。送10个金币吧。
[1]Design of Structure and Function of Geological Hazard Spatial Database in Xiang Yang，2012 International Conference on Electronic Information and Electrical Engineering, p 737-740,
[2]The relationship and strategy of informatization on farmers, agriculture and rural areas and new rural construction, Software Engineering and Knowledge Engineering: Theory and Practice Advances in Intelligent and Soft Computing, 2012, Volume 115/2012, 445-450.
[3]Design of Structure and Function of Spatial Database on Digital Basin，Lecture Notes in Electrical Engineering, v 173 LNEE, n VOL. 2, p 341-347, 2012, Future Control and Automation - Proceedings of the 2nd International Conference on Future Control and Automation, ICFCA 2012
[4]Applications on spatial information technology in natural disasters，Procedia Environmental Sciences, v 10, n PART B, p 1396-1400, 2011, 2011 3rd International Conference on Environmental Science and Information Application Technology, ESIAT 2011."
会议资源,[求助]有参加2016 年第229th ECS会议的没？求同行啊 5,x小豆芽,2016-02-29,10018420,学术会议,"
有参加2016 年第229th ECS会议的没？求同行啊"
讨论咨询,[求助][已完结]请问要参加2015年在深圳举行的IEEE/CIC ICCC该怎么注册？,愉悦de忧伤,2015-09-11,9374612,学术会议,"
论文被 IEEE/CIC ICCC 2015 录用了。在提交最终版论文的时候EDAS要求先注册才能提交。但是不管是EDAS还是ICCC的官网都没有提供注册链接。请问以往参会的老师和同学们是如何注册的？9.15号之前要提交论文最终版，在线等注册方式。"
讨论咨询,[求助] [已完结]【求助】ICCUE会议投稿后的疑问,gpfgpfgpf,2016-02-03,9940566,学术会议,"
朋友们好，我在ICCUE 2016会议投稿的论文被录取了，还没有交注册费，录用通知最后有一段话说论文将发表在International Journal of Engineering and Technology (IJET, ISSN:1793-8236)，后被EI检索。 但是我在EI网站上没有查到 (IJET, ISSN:1793-8236)这个期刊，请问有朋友们遇到类似情况吗？期刊是还没被检索还是怎么回事哇？


捕获.JPG"
会议资源,[求助]帮忙查下这篇文章 20,左手写爱100,2016-03-16,10100084,学术会议,"
Hemsley S J, Sarget J F. Nickel free plating technology[C] // [S. l.]: Singapore Surface Finishing Society Seminar, 1997."
